sample_id,source_file,source_row,sha256,ade_id,width,height,crop_box,caption,blocked,split
00032,train-00000-of-00023.parquet,32,594f1410ca6a982b21e840c255481b66462b7def2329a1144d9c08629ee667f3,ADE_train_00000033,683,512,"85,0,597,512","A bathroom with a white toilet, a red sink, and a white bathtub",0,train
00033,train-00000-of-00023.parquet,33,c615d6e3f2df0506d21763dfee508970315c70343037646dc8a96974f9f1f0fd,ADE_train_00000034,683,512,"85,0,597,512","A bathroom with a toilet, a shower, and a window",0,train
00034,train-00000-of-00023.parquet,34,5ab71e73eb7cba68aeb9a7b7a8b84578be1bb764f07cd5e3071d605c04d3ec3f,ADE_train_00000035,512,683,"0,85,512,597","A bathroom with a toilet, sink, and shower",0,train
00035,train-00000-of-00023.parquet,35,a7cc610567347842fc58aded789bf6c4f80285c1a52a014a052169476947c4a2,ADE_train_00000036,336,225,"126,0,638,512","This is a bathroom with a wooden floor, white walls, and a large window",0,train
00036,train-00000-of-00023.parquet,36,bc0838a73598f465137a3ffd18213dd2f86bafb3fb00481a4d2ea713c72adcd7,ADE_train_00000037,546,512,"17,0,529,512","This is a bathroom with a large bathtub in the center, surrounded by white tiles and a window with green curtains",0,train
00037,train-00000-of-00023.parquet,37,e95b555cefdb6b175485c0a1ab511f062a686fd412e5c9bafbe40516888e9f25,ADE_train_00000038,640,480,"85,0,597,512",A bathroom with a purple wallpaper and a white sink on the left and a toilet on the right,0,train
00038,train-00000-of-00023.parquet,38,0a018cca7e825c6bb231e6f613d8d21d99cf177e0cf0b706a2800a192c46d949,ADE_train_00000039,640,512,"64,0,576,512","A bathroom with a large bathtub, a window with a view of a mountain, and a stone countertop",0,train
00039,train-00000-of-00023.parquet,39,08c5dfe2ac0d51b0ef9d20ef54f3617e17cbf207643ca2ce1cbe4a02adea9f45,ADE_train_00000040,512,683,"0,85,512,597","A modern bathroom with a white toilet, a brown sink, and a glass shower enclosure",0,train
00040,train-00000-of-00023.parquet,40,f46e2424ce9278499ce4492e87a8941d2ae6e494416929f7eb3e23b33bc2ae13,ADE_train_00000041,512,683,"0,85,512,597","This is a modern bathroom with a white and gray color scheme, featuring a walk-in shower, a toilet, and a sink",0,train
00041,train-00000-of-00023.parquet,41,461e64eea3bb76304c963030c9c161a462e287f32b752aebb519eaace60a1645,ADE_train_00000042,402,536,"0,85,512,597",A white sink and mirror in a small bathroom with a wooden door,0,train
00042,train-00000-of-00023.parquet,42,108d4ca6a86582d16f788797c34b406bdb2a4c6db33a77fc3d4cee47856ca176,ADE_train_00000043,512,683,"0,85,512,597","A bathroom with a sink, toilet, and a large mirror on the wall",0,train
00043,train-00000-of-00023.parquet,43,15f0ba4eb3d19f2ce88abc8b357cf06ba03efbc57de85fd2a1a8f5d38e62d22a,ADE_train_00000044,400,510,"0,70,512,582","A bathroom with a toilet, a bathtub, and a towel rack hanging from the wall",0,train
00044,train-00000-of-00023.parquet,44,4741840ed819c20ff7e8c220912b6c42c7542bf1cd8470256f8eab29ac866031,ADE_train_00000045,500,327,"135,0,647,512","This is a bathroom with a white bathtub, a black and white checkered floor, and a white toilet",0,train
00045,train-00000-of-00023.parquet,45,d39541e0615c2c72e119aba45c2ef716028e0c0f437f9115b5f3df995214b4a2,ADE_train_00000046,768,512,"128,0,640,512","This is a bathroom with a large glass shower, a bathtub, and a large window with a view of the ocean",0,train
00046,train-00000-of-00023.parquet,46,f663042658d9217491b7602034ed0a1a819dfda0815d6aaf3d1569276fb54288,ADE_train_00000047,512,683,"0,85,512,597","A bathroom with a white toilet, a brown sink, and a white shower curtain",0,train
00047,train-00000-of-00023.parquet,47,45f4f2c038710a5cb184adf08f7000c20b61278cbb1255bfea327f554ba562b2,ADE_train_00000048,512,690,"0,89,512,601","A bathroom with a sink, toilet, and shower",0,train
00048,train-00000-of-00023.parquet,48,34d5e7d65c727238a005d3bc57beffc0159c4edf6e12ddaf558b254c9ba5eb70,ADE_train_00000049,512,681,"0,84,512,596","A bathroom with a toilet, sink, and mirror",0,train
00049,train-00000-of-00023.parquet,49,fb46beed4049a9e67deb297235c60b8682e576ebd37c27808399bf02098cc17a,ADE_train_00000050,1024,1024,"0,0,512,512","A bathroom with a wooden floor, a wooden bathtub, and a wooden chair",0,train
00050,train-00000-of-00023.parquet,50,ac95a60acb7d43a576bc1c929a7bf97ba451a4ddaf662870fc2e3daa0c1bdb52,ADE_train_00000051,653,512,"70,0,582,512","A bathroom with a shower, a toilet, and a sink",0,train
00051,train-00000-of-00023.parquet,51,3303ebf8be8d8c0cd0aca39c75facca3fd9885bcd1f1ad1dc78095e01556cb50,ADE_train_00000052,512,683,"0,85,512,597","This image is a bathroom with a white toilet, a wooden shelf with towels, and a mirror on the wall",0,train
00052,train-00000-of-00023.parquet,52,4f484f98e435fd389267e462e2564f81e22275b8c0faba7896c0878104a24ed2,ADE_train_00000053,512,683,"0,85,512,597","A bathroom with a sink, toilet, and shower",0,train
00053,train-00000-of-00023.parquet,53,37c8640abc4bf3b11652ee44290a539cc41c1a7ce316d68d038e8c42f9c2f71d,ADE_train_00000054,683,512,"85,0,597,512","A bathroom with a toilet, sink, and bathtub",0,train
00054,train-00000-of-00023.parquet,54,496ca2eea6c6266e4fd6b29dc17a73e064f824fc773a8152e176b0c1f16bb2ce,ADE_train_00000055,683,512,"85,0,597,512","A bathroom with a white bathtub, a zebra print towel hanging from the rack, and a white blind covering the window",0,train
00055,train-00000-of-00023.parquet,55,daf7deb4eae5ba4289659621b35956f1c283e55ac6d2101a30b081e4dae3ab31,ADE_train_00000056,768,512,"128,0,640,512","A bathroom with a toilet, sink, and shower",0,train
00056,train-00000-of-00023.parquet,56,07d5e6e72b708f5461d80a156b657bab554b8d71a395d09189460411a12418be,ADE_train_00000057,766,512,"127,0,639,512",This is a bathroom with a large bathtub and a separate shower,0,train
00057,train-00000-of-00023.parquet,57,60aad0f0bb4280b9fe0df0d0301665e9cb4188e06b995b3c1dabd765b4ff940f,ADE_train_00000058,735,512,"111,0,623,512","This is a bathroom with two sinks, a toilet, and a bathtub",0,train
00058,train-00000-of-00023.parquet,58,aa98ff7accc57a8633fa6f35cc93e264975df74b10133bb5031f0398c3a4cbe6,ADE_train_00000059,683,512,"85,0,597,512","This is a 3D rendering of a luxurious bathroom with a large bathtub, a walk-in shower, and a double sink vanity",0,val
00059,train-00000-of-00023.parquet,59,91d560ac101fafb1c32f2d3731d40c74bc3363053fe51eb39fd69beb997f9ffa,ADE_train_00000060,738,512,"113,0,625,512",This is a bathroom with pink walls and a marble countertop,0,train
00060,train-00000-of-00023.parquet,60,a5b27fd0161405c47c171ce2f4ae27c874b5d3a1c596e86524878068b187e6b1,ADE_train_00000061,768,512,"128,0,640,512","This is a bathroom with a large bathtub, two sinks, and a walk-in shower",0,train
00061,train-00000-of-00023.parquet,61,dc6cd5a035b504d2910f1abcd09f004c3d25f64f289de4b35b9370951b08afe3,ADE_train_00000062,1000,1000,"0,0,512,512","A bathroom with a bathtub, toilet, and sink",0,train
00062,train-00000-of-00023.parquet,62,5780bd0d9b431dfb8c0687bb5d753ae708fde82b63d62b10155e5435c5b09ad7,ADE_train_00000063,512,683,"0,85,512,597","This is a bathroom with a white toilet, a sink, and a large mirror above the sink",0,train
00063,train-00000-of-00023.parquet,63,99731791dc3b1c2c5536f5edea11255f1d4ef27fc0c1f567613b380bd4d3bada,ADE_train_00000064,512,672,"0,80,512,592","This is a bathroom with two sinks, a toilet, and a large mirror hanging above the sink",0,train
00064,train-00000-of-00023.parquet,64,f240578aa29a8d87c26ba32435446eef9e567ec01b4d1010f76c919fbf27be67,ADE_train_00000065,624,512,"56,0,568,512","A modern bathroom with a wooden vanity, a mirror, and a shelf",0,train
00065,train-00000-of-00023.parquet,65,d31069a9bc19264e6c37b119417620971ff257232813a4cccd32dfdaadec70d6,ADE_train_00000066,768,512,"128,0,640,512","This is a bathroom with a bathtub, sink, and mirror",0,train
00066,train-00000-of-00023.parquet,66,90f29abd2b4c94b8b8c204301ebf5dbecffa83eaaf3ddab2f92d32f79c77d10d,ADE_train_00000067,512,683,"0,85,512,597","A bathroom with a toilet, sink, and shower",0,train
00067,train-00000-of-00023.parquet,67,de01fc560c95f54b2a1e26f233e5504d7871cce273135ce54d77bdfc200feb0f,ADE_train_00000068,683,512,"85,0,597,512","This is a bathroom with a large mirror above the sink, a marble countertop, and a wooden vanity",0,train
00068,train-00000-of-00023.parquet,68,f4732a5f4711aa7b3daeabe73875af675d9b08b8d5a7da69151c4dfcf0ef56e8,ADE_train_00000069,683,512,"85,0,597,512","This is a bathroom with a white bathtub, a white sink, and a brown and white tiled floor",0,train
00069,train-00000-of-00023.parquet,69,c629a0c195943a83d0f105bed34cf59f562401f067efaabc1a2679d1a64220fd,ADE_train_00000070,745,512,"116,0,628,512","This is a bathroom with a white tiled floor, blue tiled walls, a white sink, a white toilet, and a large window with blue curtains",0,train
00070,train-00000-of-00023.parquet,70,143e10ea65cf75be85bbcd66a6f2d22d782fe1220dd1d6cb3fb043699e9be64c,ADE_train_00000071,770,512,"129,0,641,512","A bathroom with a toilet, sink, and shower",0,train
00071,train-00000-of-00023.parquet,71,b50ceaf5c406186cd8c863cc2b1b5c3f888c502a3321f03072a14817fc89cc20,ADE_train_00000072,761,512,"124,0,636,512","This is a bathroom with white walls, a white toilet, and a white sink",0,train
00072,train-00000-of-00023.parquet,72,759427aa5fb5a4f41b0d91ccbce4098d7c33ceeb64be31cab44bf2b461cf3604,ADE_train_00000073,716,512,"102,0,614,512",A row of three white sinks with green countertops in a public restroom,0,train
00073,train-00000-of-00023.parquet,73,56ccb1740c883f44aecea8226dc38af479dc410e77b20c7294124fc39e1230a5,ADE_train_00000074,683,512,"85,0,597,512","A large, modern bathroom with a white bathtub, a white sink, and a large mirror on the wall",0,train
00074,train-00000-of-00023.parquet,74,5b7a7b79071c62add8f3c8a47b6040e075a181700306d58c4bd1c5e9cc56b308,ADE_train_00000075,648,512,"68,0,580,512",A modern bathroom with white cabinets and a mirror above the sink,0,train
00075,train-00000-of-00023.parquet,75,e25530fd0512db8b6c74bf649331ce4b85f073c6eddfaf2b62b50f23c289fe69,ADE_train_00000076,512,683,"0,85,512,597","A bathroom with a white toilet, a blue and white striped shower curtain, and a window with a blue and white striped blind",0,train
00076,train-00000-of-00023.parquet,76,af395cfaa8ad9d82dab6bf21ce331054965fa4ca125f43f4d7f7818d202b3613,ADE_train_00000077,683,512,"85,0,597,512","A bathroom with two sinks, a toilet, and a shower",0,train
00077,train-00000-of-00023.parquet,77,ac723c2bf04c199d601e8ee1dd75bd7828065110f924b7714d73e1519ea27b86,ADE_train_00000078,512,683,"0,85,512,597","A bathroom with a toilet, sink, and shower",0,train
00078,train-00000-of-00023.parquet,78,41ab9210ab2507ffc1470a8b5877e0f89cd6ccbfe8fd18c74ea474bf25fd3b13,ADE_train_00000079,512,768,"0,128,512,640","A bathroom with a black sink, a white toilet, and a wooden vanity",0,train
00079,train-00000-of-00023.parquet,79,0237e06cffad6f07ebe7716a1bcc9446bc2589f659e9f326b538f4a8d9304b33,ADE_train_00000080,516,512,"2,0,514,512","A bathtub with flowers in it, surrounded by a large window with an ocean view",0,train
00080,train-00000-of-00023.parquet,80,2105a6933e77a84a491ea90c72cbb3a9ac147b78427dc0508e754d1fcaddb21f,ADE_train_00000081,512,768,"0,128,512,640","A bathroom with a toilet, sink, and a mirror above the sink",0,train
00081,train-00000-of-00023.parquet,81,64c00f8bb188f7f9bf9c515d1e62f5a56681af92f5af044bc12534c4e7417e8c,ADE_train_00000082,979,979,"0,0,512,512","This is a bathroom with a white toilet, a bathtub, and a sink",0,train
00082,train-00000-of-00023.parquet,82,8f4606d8cb1051832ec448f1bfd9649e5e35207f36b1561578bad321bf1af015,ADE_train_00000083,680,512,"84,0,596,512","A bathroom with a white sink, toilet, and shower",0,train
00083,train-00000-of-00023.parquet,83,61ce6765527e27e97ade373b3bbc0ad0204b1d3dd565931a7f66ca73ea97268c,ADE_train_00000084,683,512,"85,0,597,512","A bathroom with a black sink, a white toilet, and a white tiled floor",0,train
00084,train-00000-of-00023.parquet,84,21971a2e5791c408f15341097b4b8263600764e25284a00c638b99e0e6d36c99,ADE_train_00000085,683,512,"85,0,597,512","This is a bathroom with a toilet, sink, and shower",0,train
00085,train-00000-of-00023.parquet,85,f8933b728d5aaedae337e860ab46c7c25821e0bae9d919aca23f46ebd3ef1e84,ADE_train_00000086,683,512,"85,0,597,512","A bathroom with a glass shower door, a white sink, and a wooden door",0,train
00086,train-00000-of-00023.parquet,86,b34155a4eee9af3723578a14c1789a9753ad8b3719fe903a8462ac27601c4bf6,ADE_train_00000087,640,480,"85,0,597,512",This is a bathroom with wooden cabinetry and a large mirror,0,train
00087,train-00000-of-00023.parquet,87,2faf7c6482331bc48cb2cc06f3cf1bf43a6205c2ae971a5d9d533fe6436e941f,ADE_train_00000088,512,768,"0,128,512,640","A bathroom with a white toilet, a red shower curtain, and a white sink",0,train
00088,train-00000-of-00023.parquet,88,f273c1d93606210c4f8f9858407be2a601939178f3b29b4f8da104de9bae0819,ADE_train_00000089,683,512,"85,0,597,512","A bathroom with a large bathtub, a glass shower enclosure, and a wooden vanity with a mirror",0,train
00089,train-00000-of-00023.parquet,89,53d0d372494413547ab908a1fab89caab572e57009772533c332497f25d2bec8,ADE_train_00000090,512,683,"0,85,512,597",A bathroom with a green tiled floor and a white sink and countertop,0,train
00090,train-00000-of-00023.parquet,90,55fbf8dea6a5c30129efe1c7669ad5de9bb94374abc0b9f6ee66f84e65739a68,ADE_train_00000091,639,512,"63,0,575,512","A bathroom with a large window, a bathtub, a sink, and a toilet",0,train
00091,train-00000-of-00023.parquet,91,c68091f051bb4bf0eba779a298a132181878853ac8e1d517dd91dcce44b93d4d,ADE_train_00000092,701,512,"94,0,606,512","A bathroom with two sinks, a bathtub, and a large mirror",0,train
00092,train-00000-of-00023.parquet,92,c0580dce1c0e2d99e79eaa90369d785b64a8b748794239eba50bece7cdbf83ab,ADE_train_00000093,512,682,"0,85,512,597","A bathroom with a sink, toilet, and shower, with a red and white checked cloth on the counter",0,train
00093,train-00000-of-00023.parquet,93,3379abacf50c296320d73b95d5db5a5b8fb788a47ff045b104226fa185e3b43b,ADE_train_00000094,512,683,"0,85,512,597","A bathroom with a large glass shower, a bathtub, and a sink",0,train
00094,train-00000-of-00023.parquet,94,76ab52a80aa278cbcab40332bf3483af0a861f296349cb354c7c81b91ead1e6b,ADE_train_00000095,768,512,"128,0,640,512","This is a bathroom with a large walk in shower, a bathtub, and a toilet",0,train
00095,train-00000-of-00023.parquet,95,555d10d247fbdb0394e7ae6d5d5a3e848d22707e4afb8adb104b1109b15004bc,ADE_train_00000096,512,683,"0,85,512,597",This image is a bathroom with a white toilet and a pink shower curtain,0,train
00096,train-00000-of-00023.parquet,96,c050c1d0a1dfcba63c7ae5f92a6b83960b2b4c23d474d873ed88055464bd0513,ADE_train_00000097,512,683,"0,85,512,597","A bathroom with a white and yellow tiled floor, a yellow sink, a white toilet, and a window with yellow trim",0,train
00097,train-00000-of-00023.parquet,97,80315ea530164892cb8da21a574da2c2e04f6ce531d4bcf83a869788439f8b4c,ADE_train_00000098,683,512,"85,0,597,512","This is a bathroom with a white tiled floor, a white toilet, a white sink, and a white bathtub",0,train
00098,train-00000-of-00023.parquet,98,d342dd13af6702ed035f286f55fbc3e9e3f9a4e02d2132fa0a0ee972af4d03d1,ADE_train_00000099,300,300,"0,0,512,512",This is a bathroom with a large bathtub in the center of the room,0,train
00099,train-00000-of-00023.parquet,99,09f5b5a5c2daabd368ffe71470864e6e712ff892f21e118137fd40ad5c542e2f,ADE_train_00000100,512,683,"0,85,512,597","A bathroom with a white sink, toilet, and shower",0,train
00100,train-00000-of-00023.parquet,100,3a3fc32535a17066af4737acd1d7da8dfd1b743b7b2444c13d64f36a7ab03633,ADE_train_00000101,677,512,"82,0,594,512","This is a modern bathroom with white tiles on the floor and walls, a large bathtub, a sink, and a large window with a view of the outdoors",0,train
00101,train-00000-of-00023.parquet,101,368919130d6d5a27425fabe85086b1651585da28234a688f5150e507503b2553,ADE_train_00000102,683,512,"85,0,597,512",A bathroom counter with a sink and a toilet,0,train
00102,train-00000-of-00023.parquet,102,fb09df6a6b8884e3f4c7231b4f681096c99a4f9a99ec182ccf995be5d1cad153,ADE_train_00000103,683,512,"85,0,597,512","A bathroom with a sink, toilet, and mirror",0,train
00103,train-00000-of-00023.parquet,103,c0044156ed5cd874db5f55ffd236737196a294e984ac0bda0504b874b11459fa,ADE_train_00000104,512,683,"0,85,512,597",A bathroom with a bathtub and tiled walls,0,train
00104,train-00000-of-00023.parquet,104,ac29186c2d849b48d7414cf688f762ade2a43eb12e40c24a9b65d28d85152455,ADE_train_00000105,512,683,"0,85,512,597","A bathroom with a white toilet, a shower, and a sink",0,train
00105,train-00000-of-00023.parquet,105,b7a2e8f66fd811714021cefea7cdb5d73650c36fa13144c265f3662053b92e7d,ADE_train_00000106,682,512,"85,0,597,512","A room with a wooden dresser, a green chair, and a stone archway leading to another room",0,train
00106,train-00000-of-00023.parquet,106,c0d15e6b232eebfd97dbfc9db8aee4c8ad916cb919079510d8d3b092c5865251,ADE_train_00000107,777,512,"132,0,644,512","This is a bathroom with a large bathtub, two sinks, and a large mirror",0,train
00107,train-00000-of-00023.parquet,107,7d5e93c99e2fcafa0ea3a498b40a118892aab1b5aa17eb9f105a888065baafef,ADE_train_00000108,773,512,"130,0,642,512",This is a bathroom with yellow walls and wooden cabinets,0,train
00108,train-00000-of-00023.parquet,108,e8b21219dd0a683fed59284cec007309396f66701bf5db02a8d71c29fba31c74,ADE_train_00000109,640,512,"64,0,576,512",A bathroom with a toilet and sink on opposite sides of the room,0,train
00109,train-00000-of-00023.parquet,109,0f024e3c7696173bad2514231c1a7be4bf944b4d5af962433078d254d70d2e76,ADE_train_00000110,512,683,"0,85,512,597","A bathroom with a sink, toilet, and shower",0,train
00110,train-00000-of-00023.parquet,110,f7ff6becdbf3b594f991eaa834028d2f738f0656ea0375faed18364bfea20643,ADE_train_00000111,768,512,"128,0,640,512","A large, modern bathroom with two sinks, a bathtub, and a large mirror",0,train
00111,train-00000-of-00023.parquet,111,1a8067a9388c0d09ebf67d7f9c1573c9cbb5e24c1376109654517d6ea1490eba,ADE_train_00000112,765,512,"126,0,638,512","This is a bathroom with a large bathtub, a sink, and a window with a view of a garden",0,train
00112,train-00000-of-00023.parquet,112,ca1a8bc5de6d7ff2ce583ac3f42f65df2b04a68512f5df71036c39388a0cb781,ADE_train_00000113,512,682,"0,85,512,597","A bathroom with a toilet, sink, and shower",0,train
00113,train-00000-of-00023.parquet,113,0537715d089672c16cbf8dbc7d8032578a87bead96aa5c2da0deec35cb40ac90,ADE_train_00000114,512,683,"0,85,512,597","A bathroom with a white sink, toilet, and shower",0,train
00114,train-00000-of-00023.parquet,114,ea400b2c99ef43595c05ff2d342b256f5130e10851fb6ea3a4b966a31ec27170,ADE_train_00000115,512,633,"0,60,512,572","A bathroom with white walls, a white bathtub, and white shutters on the windows",0,train
00115,train-00000-of-00023.parquet,115,68dd251037fdd1fb73357d966ae75f664414333eaafc20478a4fb56b171ec0df,ADE_train_00000116,512,768,"0,128,512,640","A bathroom with a white bathtub, a toilet, and a shower",0,train
00116,train-00000-of-00023.parquet,116,5b245ba5874f32e71ff8fc757dbebceaef20bbe3322f3ccc45f8868e0e94488e,ADE_train_00000117,765,512,"126,0,638,512","This is a bathroom with a bathtub, sink, and toilet",0,train
00117,train-00000-of-00023.parquet,117,cad7579837cdf1c4f89fb02359322a8b29807e1fea31e1ef37b30457c8e8d1a7,ADE_train_00000118,512,683,"0,85,512,597","A small bathroom with a white toilet, a sink, and a window",0,train
00118,train-00000-of-00023.parquet,118,9b6428f7648df8e8c418cfee8e8198c1afb243223dd26c38a1e0c38e191070aa,ADE_train_00000119,819,512,"153,0,665,512","This is a bathroom with yellow and white tiles on the floor and walls, a white bathtub, a white sink, and a white toilet",0,train
00119,train-00000-of-00023.parquet,119,cdb6c3f4336643880ea0e43940242e5c20360f5858d1176048e4b602e6624236,ADE_train_00000120,512,682,"0,85,512,597","A bathroom with a white toilet, a blue and white tiled floor, and a green and white tiled wall",0,train
