sample_id,subject,class,live,ref_image,ref_sha256,ref_width,ref_height,n_subject_images,prompt_idx,prompt_template,prompt
00010,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,10,a {0} {1} with a wheat field in the background,a backpack with a wheat field in the background
00011,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,11,a {0} {1} with a tree and autumn leaves in the background,a backpack with a tree and autumn leaves in the background
00012,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,12,a {0} {1} with the Eiffel Tower in the background,a backpack with the Eiffel Tower in the background
00013,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,13,a {0} {1} floating on top of water,a backpack floating on top of water
00014,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,14,a {0} {1} floating in an ocean of milk,a backpack floating in an ocean of milk
00015,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,15,a {0} {1} on top of green grass with sunflowers around it,a backpack on top of green grass with sunflowers around it
00016,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,16,a {0} {1} on top of a mirror,a backpack on top of a mirror
00017,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,17,a {0} {1} on top of the sidewalk in a crowded street,a backpack on top of the sidewalk in a crowded street
00018,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,18,a {0} {1} on top of a dirt road,a backpack on top of a dirt road
00019,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,19,a {0} {1} on top of a white rug,a backpack on top of a white rug
00020,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,20,a red {0} {1},a red backpack
00021,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,21,a purple {0} {1},a purple backpack
00022,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,22,a shiny {0} {1},a shiny backpack
00023,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,23,a wet {0} {1},a wet backpack
00024,backpack,backpack,0,00.jpg,b9dfa6429a1b77eaea5f4b7bba59c4ac8a77d024d3c1bd4f76bf587cbaa25972,767,767,6,24,a cube shaped {0} {1},a cube shaped backpack
00025,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,0,a {0} {1} in the jungle,a backpack in the jungle
00026,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,1,a {0} {1} in the snow,a backpack in the snow
00027,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,2,a {0} {1} on the beach,a backpack on the beach
00028,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,3,a {0} {1} on a cobblestone street,a backpack on a cobblestone street
00029,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,4,a {0} {1} on top of pink fabric,a backpack on top of pink fabric
00030,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,5,a {0} {1} on top of a wooden floor,a backpack on top of a wooden floor
00031,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,6,a {0} {1} with a city in the background,a backpack with a city in the background
00032,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,7,a {0} {1} with a mountain in the background,a backpack with a mountain in the background
00033,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,8,a {0} {1} with a blue house in the background,a backpack with a blue house in the background
00034,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,9,a {0} {1} on top of a purple rug in a forest,a backpack on top of a purple rug in a forest
00035,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,10,a {0} {1} with a wheat field in the background,a backpack with a wheat field in the background
00036,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,11,a {0} {1} with a tree and autumn leaves in the background,a backpack with a tree and autumn leaves in the background
00037,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,12,a {0} {1} with the Eiffel Tower in the background,a backpack with the Eiffel Tower in the background
00038,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,13,a {0} {1} floating on top of water,a backpack floating on top of water
00039,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,14,a {0} {1} floating in an ocean of milk,a backpack floating in an ocean of milk
00040,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,15,a {0} {1} on top of green grass with sunflowers around it,a backpack on top of green grass with sunflowers around it
00041,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,16,a {0} {1} on top of a mirror,a backpack on top of a mirror
00042,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,17,a {0} {1} on top of the sidewalk in a crowded street,a backpack on top of the sidewalk in a crowded street
00043,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,18,a {0} {1} on top of a dirt road,a backpack on top of a dirt road
00044,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,19,a {0} {1} on top of a white rug,a backpack on top of a white rug
00045,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,20,a red {0} {1},a red backpack
00046,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,21,a purple {0} {1},a purple backpack
00047,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,22,a shiny {0} {1},a shiny backpack
00048,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,23,a wet {0} {1},a wet backpack
00049,backpack_dog,backpack,0,00.jpg,bab66072d71898f071c84c837bf6b1801abecc4b2f8be42492697b83fea7b859,1440,1440,5,24,a cube shaped {0} {1},a cube shaped backpack
00050,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,0,a {0} {1} in the jungle,a stuffed animal in the jungle
00051,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,1,a {0} {1} in the snow,a stuffed animal in the snow
00052,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,2,a {0} {1} on the beach,a stuffed animal on the beach
00053,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,3,a {0} {1} on a cobblestone street,a stuffed animal on a cobblestone street
00054,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,4,a {0} {1} on top of pink fabric,a stuffed animal on top of pink fabric
00055,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,5,a {0} {1} on top of a wooden floor,a stuffed animal on top of a wooden floor
00056,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,6,a {0} {1} with a city in the background,a stuffed animal with a city in the background
00057,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,7,a {0} {1} with a mountain in the background,a stuffed animal with a mountain in the background
00058,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,8,a {0} {1} with a blue house in the background,a stuffed animal with a blue house in the background
00059,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,9,a {0} {1} on top of a purple rug in a forest,a stuffed animal on top of a purple rug in a forest
00060,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,10,a {0} {1} with a wheat field in the background,a stuffed animal with a wheat field in the background
00061,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,11,a {0} {1} with a tree and autumn leaves in the background,a stuffed animal with a tree and autumn leaves in the background
00062,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,12,a {0} {1} with the Eiffel Tower in the background,a stuffed animal with the Eiffel Tower in the background
00063,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,13,a {0} {1} floating on top of water,a stuffed animal floating on top of water
00064,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,14,a {0} {1} floating in an ocean of milk,a stuffed animal floating in an ocean of milk
00065,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,15,a {0} {1} on top of green grass with sunflowers around it,a stuffed animal on top of green grass with sunflowers around it
00066,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,16,a {0} {1} on top of a mirror,a stuffed animal on top of a mirror
00067,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,17,a {0} {1} on top of the sidewalk in a crowded street,a stuffed animal on top of the sidewalk in a crowded street
00068,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,18,a {0} {1} on top of a dirt road,a stuffed animal on top of a dirt road
00069,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,19,a {0} {1} on top of a white rug,a stuffed animal on top of a white rug
00070,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,20,a red {0} {1},a red stuffed animal
00071,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,21,a purple {0} {1},a purple stuffed animal
00072,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,22,a shiny {0} {1},a shiny stuffed animal
00073,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,23,a wet {0} {1},a wet stuffed animal
00074,bear_plushie,stuffed animal,0,00.jpg,54ae0aef8744d5eb286d30324e9043fdad5dc4715b59a16da85c2908f5bcba50,2048,2048,5,24,a cube shaped {0} {1},a cube shaped stuffed animal
00075,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,0,a {0} {1} in the jungle,a bowl in the jungle
00076,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,1,a {0} {1} in the snow,a bowl in the snow
00077,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,2,a {0} {1} on the beach,a bowl on the beach
00078,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,3,a {0} {1} on a cobblestone street,a bowl on a cobblestone street
00079,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,4,a {0} {1} on top of pink fabric,a bowl on top of pink fabric
00080,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,5,a {0} {1} on top of a wooden floor,a bowl on top of a wooden floor
00081,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,6,a {0} {1} with a city in the background,a bowl with a city in the background
00082,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,7,a {0} {1} with a mountain in the background,a bowl with a mountain in the background
00083,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,8,a {0} {1} with a blue house in the background,a bowl with a blue house in the background
00084,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,9,a {0} {1} on top of a purple rug in a forest,a bowl on top of a purple rug in a forest
00085,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,10,a {0} {1} with a wheat field in the background,a bowl with a wheat field in the background
00086,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,11,a {0} {1} with a tree and autumn leaves in the background,a bowl with a tree and autumn leaves in the background
00087,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,12,a {0} {1} with the Eiffel Tower in the background,a bowl with the Eiffel Tower in the background
00088,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,13,a {0} {1} floating on top of water,a bowl floating on top of water
00089,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,14,a {0} {1} floating in an ocean of milk,a bowl floating in an ocean of milk
00090,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,15,a {0} {1} on top of green grass with sunflowers around it,a bowl on top of green grass with sunflowers around it
00091,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,16,a {0} {1} on top of a mirror,a bowl on top of a mirror
00092,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,17,a {0} {1} on top of the sidewalk in a crowded street,a bowl on top of the sidewalk in a crowded street
00093,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,18,a {0} {1} on top of a dirt road,a bowl on top of a dirt road
00094,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,19,a {0} {1} on top of a white rug,a bowl on top of a white rug
00095,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,20,a red {0} {1},a red bowl
00096,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,21,a purple {0} {1},a purple bowl
00097,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,22,a shiny {0} {1},a shiny bowl
00098,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,23,a wet {0} {1},a wet bowl
00099,berry_bowl,bowl,0,00.jpg,361e33d6ca9f806c8405b0a1bcd5c4fe0977455819e1ad046e5c1170c79c6197,1280,1280,6,24,a cube shaped {0} {1},a cube shaped bowl
00100,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,0,a {0} {1} in the jungle,a can in the jungle
00101,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,1,a {0} {1} in the snow,a can in the snow
00102,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,2,a {0} {1} on the beach,a can on the beach
00103,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,3,a {0} {1} on a cobblestone street,a can on a cobblestone street
00104,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,4,a {0} {1} on top of pink fabric,a can on top of pink fabric
00105,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,5,a {0} {1} on top of a wooden floor,a can on top of a wooden floor
00106,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,6,a {0} {1} with a city in the background,a can with a city in the background
00107,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,7,a {0} {1} with a mountain in the background,a can with a mountain in the background
00108,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,8,a {0} {1} with a blue house in the background,a can with a blue house in the background
00109,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,9,a {0} {1} on top of a purple rug in a forest,a can on top of a purple rug in a forest
00110,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,10,a {0} {1} with a wheat field in the background,a can with a wheat field in the background
00111,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,11,a {0} {1} with a tree and autumn leaves in the background,a can with a tree and autumn leaves in the background
00112,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,12,a {0} {1} with the Eiffel Tower in the background,a can with the Eiffel Tower in the background
00113,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,13,a {0} {1} floating on top of water,a can floating on top of water
00114,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,14,a {0} {1} floating in an ocean of milk,a can floating in an ocean of milk
00115,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,15,a {0} {1} on top of green grass with sunflowers around it,a can on top of green grass with sunflowers around it
00116,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,16,a {0} {1} on top of a mirror,a can on top of a mirror
00117,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,17,a {0} {1} on top of the sidewalk in a crowded street,a can on top of the sidewalk in a crowded street
00118,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,18,a {0} {1} on top of a dirt road,a can on top of a dirt road
00119,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,19,a {0} {1} on top of a white rug,a can on top of a white rug
00120,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,20,a red {0} {1},a red can
00121,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,21,a purple {0} {1},a purple can
00122,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,22,a shiny {0} {1},a shiny can
00123,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,23,a wet {0} {1},a wet can
00124,can,can,0,00.jpg,165f674d17e27ad11c2ec048b23135d5c3ebbe0b7b9ba01bec07f9dd8b505649,1280,1280,6,24,a cube shaped {0} {1},a cube shaped can
00125,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,0,a {0} {1} in the jungle,a candle in the jungle
00126,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,1,a {0} {1} in the snow,a candle in the snow
00127,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,2,a {0} {1} on the beach,a candle on the beach
00128,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,3,a {0} {1} on a cobblestone street,a candle on a cobblestone street
00129,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,4,a {0} {1} on top of pink fabric,a candle on top of pink fabric
00130,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,5,a {0} {1} on top of a wooden floor,a candle on top of a wooden floor
00131,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,6,a {0} {1} with a city in the background,a candle with a city in the background
00132,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,7,a {0} {1} with a mountain in the background,a candle with a mountain in the background
00133,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,8,a {0} {1} with a blue house in the background,a candle with a blue house in the background
00134,candle,candle,0,00.jpg,13c47512f1d94ec68de0d1571fbd751686bd40bb6a0fa6c381feab37023a2cba,2048,2048,5,9,a {0} {1} on top of a purple rug in a forest,a candle on top of a purple rug in a forest
