sample_id,source_file,source_row,sha256,direction,collection,item,category,caption,blocked,split
00010,train-00000-of-00032.parquet,27,648e8f5bb9366805830fe053bbbd415357d4204c7164830e39c16b38310cfa77,0,collection_1,La-Z-Boy Recliner,Furniture,"This image captures a La-Z-Boy Recliner nestled in a corner of a bustling city apartment. The photo is taken from a low side angle, emphasizing the recliner's plush armrests and sleek lines. It's late morning, and sunlight filters through large windows, creating a pattern of light and shadow across the floor. The cityscape visible through the window shows rooftops and skyscrapers under a clear blue sky. A small side table next to the recliner holds a steaming cup of coffee and an open book, suggesting a moment of relaxation.",,train
00011,train-00000-of-00032.parquet,27,648e8f5bb9366805830fe053bbbd415357d4204c7164830e39c16b38310cfa77,1,collection_1,La-Z-Boy Recliner,Furniture,"In a professional studio setting, the La-Z-Boy Recliner is photographed against a pure white background, capturing the essence of its design for product display. The lighting is high-key, eliminating all shadows and highlighting the recliner's contours and craftsmanship. The angle is a classic three-quarter view, showcasing both the front and side of the recliner, revealing the ergonomic design and luxurious fabric. Close-up shots might reveal the fine stitching and comfortable padded armrests, emphasizing the quality and style of this piece of furniture.",,train
00012,train-00000-of-00032.parquet,29,e8241cee1844c0cd63fbfdc0546038ac582ebf979cd97270f361e3f9449ef7a3,0,collection_1,La-Z-Boy Recliner,Furniture,"In a rustic mountain cabin, the La-Z-Boy Recliner sits beside a crackling stone fireplace. The image is taken at eye level from the front, focusing on the inviting texture of the upholstery and the sturdy build of the chair. It's evening, and the warm glow from the fire casts a soft light across the room, offsetting the dark, wooden beams surrounding the space. Outside the window, the outlines of lofty mountains are just visible against the twilight sky. A plaid blanket is thrown over the back of the recliner, adding to the cozy atmosphere.",,train
00013,train-00000-of-00032.parquet,29,e8241cee1844c0cd63fbfdc0546038ac582ebf979cd97270f361e3f9449ef7a3,1,collection_1,La-Z-Boy Recliner,Furniture,"In a professional studio setting, the La-Z-Boy Recliner is photographed against a pure white background, capturing the essence of its design for product display. The lighting is high-key, eliminating all shadows and highlighting the recliner's contours and craftsmanship. The angle is a classic three-quarter view, showcasing both the front and side of the recliner, revealing the ergonomic design and luxurious fabric. Close-up shots might reveal the fine stitching and comfortable padded armrests, emphasizing the quality and style of this piece of furniture.",,train
00014,train-00000-of-00032.parquet,43,c683d841ac6f3907ac52104b96cb1bf30e38939a5c20bd59cd45ff05b27d1b82,0,collection_1,Barcelona Chair,Furniture,"The Barcelona Chair is elegantly positioned in a modern, high-rise apartment in the heart of a bustling city. The photo is taken from a side profile angle, showcasing the chair's sleek lines and luxurious leather upholstery. It's late afternoon, and natural light filters in through floor-to-ceiling windows, casting soft shadows. The background features a panoramic cityscape with skyscrapers and a glimpse of the sunset. A gentle breeze suggests an open window, adding an air of liveliness to the scene.",,train
00015,train-00000-of-00032.parquet,43,c683d841ac6f3907ac52104b96cb1bf30e38939a5c20bd59cd45ff05b27d1b82,1,collection_1,Barcelona Chair,Furniture,"The Barcelona Chair is placed strategically in a rustic-style living room with an open fireplace. The photograph is taken from an aerial view, highlighting the contrast between the chair's contemporary form and the cozy, traditional furnishings. It's evening, and the warm glow from the fireplace casts rich, amber tones across the room. The background features wooden beams and a bookshelf filled with classic literature, enhancing the inviting atmosphere. Gentle crackling from the fireplace adds a sense of warmth and comfort.",,train
00016,train-00000-of-00032.parquet,45,5234bc995a6a5fe85ce055938e311944264796fcf8a5b511cb1f489c251b47f8,0,collection_1,Barcelona Chair,Furniture,"Perched on a wooden deck of a contemporary beach house, the Barcelona Chair commands attention. The shot is a close-up from a slightly elevated perspective, emphasizing the chair's stainless steel frame glistening in the morning sunlight. The background reveals a serene view of the ocean waves and a sandy shore lined with palm trees. A light sea breeze sways the curtains, hinting at a warm coastal day.",,train
00017,train-00000-of-00032.parquet,45,5234bc995a6a5fe85ce055938e311944264796fcf8a5b511cb1f489c251b47f8,1,collection_1,Barcelona Chair,Furniture,"In an urban garden setting, the Barcelona Chair sits amidst lush greenery. The photo captures a three-quarter view, focusing on the interplay between the chair's modern design and the nature surrounding it. Mid-morning sun seeps through the leaves, creating a dappled light effect on the chair. The background is a blend of flowering plants and stone paths, adding a touch of serenity. A light breeze rustles the branches, contributing to the peaceful ambiance.",,train
00018,train-00000-of-00032.parquet,63,281dd89eddb956960dbc6120ed33e3b5b41403194970b559a62456b5153118f1,0,collection_1,Windsor Chair,Furniture,"The Windsor Chair is placed on a sun-dappled wooden deck in a backyard garden. The angle is a three-quarter view from slightly above, highlighting the curve of the spindles and the chair's elegant backrest design. It is late afternoon, with soft, warm sunlight casting gentle shadows on the deck. In the background, lush green foliage and vibrant flowers create a serene backdrop, adding to the peaceful atmosphere of a quiet garden retreat. A gentle breeze rustles the leaves, and a bird can be seen perched on a nearby branch, enhancing the sense of tranquility.",,train
00019,train-00000-of-00032.parquet,63,281dd89eddb956960dbc6120ed33e3b5b41403194970b559a62456b5153118f1,1,collection_1,Windsor Chair,Furniture,"The Windsor Chair stands alone in an art gallery, positioned against a stark white wall. The photograph is taken from a low angle looking slightly upwards, emphasizing the chair's classic silhouette and the clean lines of its spindles. It's midday, and bright gallery lights create a crisp, shadow-free environment. The background is intentionally minimalistic, with only a hint of framed abstract paintings slightly visible on the walls, focusing attention on the chair itself. The gallery is hushed, enhancing the contemplative mood within the space.",,train
00020,train-00000-of-00032.parquet,68,79564d2c95ecefa1ce9cfd84644cb01fe0868ddfd20f68d3dac6d302e55c852d,0,collection_1,Windsor Chair,Furniture,"A Windsor Chair is depicted in the cozy setting of a rustic kitchen. The angle taken is a straight-on front view, allowing the viewer to appreciate the simple elegance of the chair’s form. The lighting is artificial but soft, coming from an overhead lamp, creating a homely and inviting ambiance. In the background, there are wooden cabinets, a vintage stove, and a bowl of fresh fruit on a wooden table, contributing to the lived-in, quaint feel. A steaming cup of tea sits on the table next to the chair, adding a sense of warmth and comfort.",,train
00021,train-00000-of-00032.parquet,68,79564d2c95ecefa1ce9cfd84644cb01fe0868ddfd20f68d3dac6d302e55c852d,1,collection_1,Windsor Chair,Furniture,"The Windsor Chair stands alone in an art gallery, positioned against a stark white wall. The photograph is taken from a low angle looking slightly upwards, emphasizing the chair's classic silhouette and the clean lines of its spindles. It's midday, and bright gallery lights create a crisp, shadow-free environment. The background is intentionally minimalistic, with only a hint of framed abstract paintings slightly visible on the walls, focusing attention on the chair itself. The gallery is hushed, enhancing the contemplative mood within the space.",,train
00022,train-00000-of-00032.parquet,83,e2d1fd864c760bfa09b8e31eb869b26cad5ab3813cd9e8e1e0822bf0d749c19a,0,collection_1,Sheraton Sideboard,Furniture,"The Sheraton Sideboard stands gracefully in a sunlit dining room, captured in a three-quarter angle that showcases its elegant lines and intricate woodwork. The morning light streams through a large bay window, casting soft, elongated shadows across the polished wooden floor. In the background, a subtle gallery wall features tasteful black-and-white photographs, adding to the sophisticated ambiance. A delicate vase with fresh lilies sits atop the sideboard, perfuming the air with a floral scent, while a breeze gently rustles the curtains.",,train
00023,train-00000-of-00032.parquet,83,e2d1fd864c760bfa09b8e31eb869b26cad5ab3813cd9e8e1e0822bf0d749c19a,1,collection_1,Sheraton Sideboard,Furniture,"Under the twilight sky, the Sheraton Sideboard is photographed as a centerpiece in an outdoor garden dining area. Taken from a low angle, the sideboard is bathed in the cool hues of early evening, as garden lanterns cast a soft glow and playful shadows. Lush greenery and white roses bloom in the background, their petals delicately disturbed by a light breeze. The scene is tranquil and enchanting, complemented by the faint chirping of crickets and the rustle of leaves in the night air.",,train
00024,train-00000-of-00032.parquet,88,ba8409d1b2e569337d2b0cdd2914a5f03b1127e019a66a0e0ebb5c3e0a52d89e,0,collection_1,Sheraton Sideboard,Furniture,"In the midst of a bustling city street market, the Sheraton Sideboard is portrayed in a side profile view, contrasting its timeless elegance with the lively urban environment. Taken in the late afternoon, the golden hour lighting reflects off the sidewalk and dances across the surface of the sideboard. The background is rich with vibrant stalls selling fresh produce and flowers, while a gentle breeze carries the sounds of street musicians and distant traffic, adding a dynamic layer to the scene.",,train
00025,train-00000-of-00032.parquet,88,ba8409d1b2e569337d2b0cdd2914a5f03b1127e019a66a0e0ebb5c3e0a52d89e,1,collection_1,Sheraton Sideboard,Furniture,"Under the twilight sky, the Sheraton Sideboard is photographed as a centerpiece in an outdoor garden dining area. Taken from a low angle, the sideboard is bathed in the cool hues of early evening, as garden lanterns cast a soft glow and playful shadows. Lush greenery and white roses bloom in the background, their petals delicately disturbed by a light breeze. The scene is tranquil and enchanting, complemented by the faint chirping of crickets and the rustle of leaves in the night air.",,train
00026,train-00000-of-00032.parquet,97,edba6221cdd870f537b1636135455d5aa64ae4ea9887e4f2ae7e7589238d0393,0,collection_1,Adirondack Chair,Furniture,"In a vibrant garden, an Adirondack chair is nestled among blooming flowers and lush greenery. The image presents a close-up view from a slightly overhead angle, emphasizing the natural wood grain of the chair. Dappled sunlight filters through the tree leaves above, creating playful light and shadow patterns across the chair's surface. Behind the chair, a wooden fence and several colorful flower pots contribute to the idyllic garden setting.",,train
00027,train-00000-of-00032.parquet,97,edba6221cdd870f537b1636135455d5aa64ae4ea9887e4f2ae7e7589238d0393,1,collection_1,Adirondack Chair,Furniture,"In a professional studio setting, an Adirondack chair is photographed against a plain white background, ensuring no distractions from the main subject. The lighting is high-key and perfectly even, eliminating shadows and highlighting the chair's clean lines and craftsmanship. Captured in a classic three-quarter view, the image showcases the slatted back, wide armrests, and contoured seat, emphasizing the chair's ergonomic features and timeless design.",,train
00028,train-00000-of-00032.parquet,104,4e8e94834288056ba5e9cc1f2baeec080fe45abbcd02b742816774a3da1915db,0,collection_1,Mission Style Highboy,Furniture,"The Mission Style Highboy stands proudly in a cozy living room setting. The photo captures it from a slight side angle, showcasing its detailed woodwork and craftsmanship. The warm glow of an afternoon sun filters through a nearby window, casting a gentle light on the highboy's surface. The background features a plush couch and a couple of abstract artworks hanging on a cream-colored wall, creating a harmonious, welcoming atmosphere. A soft breeze rustles through the open window, adding a touch of movement to the serene scene.",,train
00029,train-00000-of-00032.parquet,104,4e8e94834288056ba5e9cc1f2baeec080fe45abbcd02b742816774a3da1915db,1,collection_1,Mission Style Highboy,Furniture,"The Mission Style Highboy is displayed in a professional studio, set against a plain white background that emphasizes its elegant craftsmanship. The lighting is even and high-key, designed to eliminate shadows and bring out the richness of the wood's natural color and texture. Photographed in a classic three-quarter view, the image highlights the highboy's clean, linear design and intricate detailing, such as the finely wrought drawer pulls and expertly joined corners. This pristine setting focuses entirely on the highboy, showcasing its timeless beauty and functional form.",,train
00030,train-00000-of-00032.parquet,112,ce2d368153e176a4d07ca201343f1561c84e77c3263ff0b23f8f11f0f8c50026,0,collection_1,Panton Chair,Furniture,"In a bright, modern living room with large glass windows allowing in an abundance of natural light, a single Panton Chair is elegantly positioned on a polished wooden floor. The photo is taken from a side profile perspective, capturing the chair's iconic curvaceous form just as the afternoon sun casts soft shadows. In the background, a lush green garden is partially visible through the windows, with hints of colorful flowers in bloom, adding vibrancy to the scene.",,train
00031,train-00000-of-00032.parquet,112,ce2d368153e176a4d07ca201343f1561c84e77c3263ff0b23f8f11f0f8c50026,1,collection_1,Panton Chair,Furniture,"In a bustling city cafe, amidst the ambient sounds of chatter and clinking coffee cups, a Panton Chair is placed by a small round table. The photo captures the chair from an eye-level perspective, with the morning light streaming through the cafe's large front window, creating dynamic patterns of light and shadow across the tile floor. In the background, the streets are alive with the hustle and bustle of pedestrians and cyclists.",,train
00032,train-00000-of-00032.parquet,123,45b46c698e3b070dc7cccb180d1a32e55fb4dd63efb3979a96fd81ff376a248d,0,collection_1,Rolltop Desk,Furniture,"The rolltop desk is situated in a cozy, rustic cabin living room. The photo is taken from a slightly elevated angle, giving a good view of the rolltop surface partially opened to reveal compartments filled with papers and stationary. It's early evening, and the room is warmly lit with the golden glow of a nearby lamp on the desk. The background includes a large stone fireplace with a crackling fire and wooden shelves filled with books. Outside, through a window, a snowy landscape with gently falling snowflakes can be glimpsed. A cat is curled up on a rug, adding a sense of warmth and comfort to the scene.",,train
00033,train-00000-of-00032.parquet,123,45b46c698e3b070dc7cccb180d1a32e55fb4dd63efb3979a96fd81ff376a248d,1,collection_1,Rolltop Desk,Furniture,"The rolltop desk is prominently placed in a spacious, elegant home library. The photo is taken from a three-quarter view, allowing a glimpse of the luxurious leather chair in front of the desk. The lighting is dim, with the ambient glow from a grand chandelier casting intricate patterns across the room. Dark wooden bookshelves filled with leather-bound volumes line the walls in the background, and a globe and antique clock add historical charm. The atmosphere is serene, with an aura of intellectual pursuit, ideal for a scholar's retreat.",,train
00034,train-00000-of-00032.parquet,124,fe7fc0e652962dcee979c28e4e26ec32980c834f6172a172e5415c33bec17c0b,0,collection_1,Rolltop Desk,Furniture,"The rolltop desk is situated in a cozy, rustic cabin living room. The photo is taken from a slightly elevated angle, giving a good view of the rolltop surface partially opened to reveal compartments filled with papers and stationary. It's early evening, and the room is warmly lit with the golden glow of a nearby lamp on the desk. The background includes a large stone fireplace with a crackling fire and wooden shelves filled with books. Outside, through a window, a snowy landscape with gently falling snowflakes can be glimpsed. A cat is curled up on a rug, adding a sense of warmth and comfort to the scene.",,train
00035,train-00000-of-00032.parquet,124,fe7fc0e652962dcee979c28e4e26ec32980c834f6172a172e5415c33bec17c0b,1,collection_1,Rolltop Desk,Furniture,"In a professional studio setting, the rolltop desk is photographed against a plain white background, emphasizing its elegant design and craftsmanship. The lighting is even and high-key, creating a shadow-free environment that highlights every detail. The angle is a classic front view, showcasing the rolltop feature slightly ajar, revealing organized compartments inside. The wood grain is visible and lustrous, and the brass handles gleam under the lighting. The photo focuses on the sleek curves and exquisite detailing, making the desk's quality and aesthetic the main attraction.",,train
00036,train-00000-of-00032.parquet,134,5a9b231fc631a937c45111d20d70d53fae6f2873f7ac992a05bf9cbd9763e6b0,0,collection_1,Bergère Armchair,Furniture,"In a cozy living room, the Bergère armchair sits gracefully near a bay window. Captured from a side profile angle, the photo highlights its elegant curves and plush upholstery. It's midday, and natural sunlight pours in, casting gentle shadows on the wooden floor. The background features a tall bookshelf filled with a mix of novels and decorative items, enhancing the armchair's sophisticated ambiance. A soft, knitted throw is casually draped over one armrest, adding a touch of warmth and comfort.",,train
00037,train-00000-of-00032.parquet,134,5a9b231fc631a937c45111d20d70d53fae6f2873f7ac992a05bf9cbd9763e6b0,1,collection_1,Bergère Armchair,Furniture,"In a professional studio setting, the Bergère armchair is photographed against a plain white background. Even, high-key lighting envelops the scene, eliminating any shadows and highlighting the chair's elegant contours and plush upholstery. The image captures a three-quarter view of the armchair, accentuating its elegantly curved back and intricately carved wooden legs. This setting allows its luxurious fabric and timeless design to be appreciated without distractions, emphasizing the quality and craftsmanship of the piece.",,train
00038,train-00000-of-00032.parquet,142,99369a3a23799915b5610dd6e7f90f2c050aac55eb9fdf103c3040e1c80c8027,0,collection_1,Murphy Bed,Furniture,"In a cozy city apartment bedroom, a Murphy bed is captured from a side profile angle during the golden hour of late afternoon. The sunlight filters softly through sheer curtains, casting gentle shadows across the room. The background features a tasteful blend of modern decor, with sleek bookshelves lining one wall and a plush rug underfoot. A small window to the side overlooks a distant cityscape, blurred but identifiable through the window glass, bringing in a sense of urban comfort.",,train
00039,train-00000-of-00032.parquet,142,99369a3a23799915b5610dd6e7f90f2c050aac55eb9fdf103c3040e1c80c8027,1,collection_1,Murphy Bed,Furniture,"In a quaint lakeside cabin, a Murphy bed is the focal point of the living area, captured from an aerial perspective as the sun begins its ascent at dawn. Natural light floods the cabin, highlighting the bed's rustic wood finish and flannel bedding that echoes the vintage furnishings scattered throughout. The backdrop includes large picture windows revealing a serene view of the lake, dotted with early morning mist. Firewood neatly stacked by the fireplace and a small pile of nature magazines on a side table complete the cozy cabin feel.",,train
00040,train-00000-of-00032.parquet,162,086bd9acb2d5dc94baeae76ca572008518221b4641974c99e5e61cf7d85f07ae,0,collection_1,Knoll Bertoia Chair,Furniture,"The Knoll Bertoia Chair is positioned on a sandy beach, its wireframe design catching the late afternoon sunlight. The photo is taken from a low angle, capturing the chair in the foreground with the ocean waves gently rolling in behind it. The lighting is warm and golden, typical of the golden hour, casting long shadows across the sand. In the background, a few distant seagulls can be seen flying against the backdrop of a clear, blue sky, adding a sense of tranquility and openness to the scene.",,train
00041,train-00000-of-00032.parquet,162,086bd9acb2d5dc94baeae76ca572008518221b4641974c99e5e61cf7d85f07ae,1,collection_1,Knoll Bertoia Chair,Furniture,"In a sleek, modern kitchen, the Knoll Bertoia Chair is thoughtfully placed next to a minimalist marble island. This overhead perspective shot showcases its wireframe intricacies and black leather pad in sharp focus, under the bright and even artificial lighting commonly found in contemporary homes. The background displays stainless steel appliances and some sparse green plants, which enhance the chair’s aesthetic allure while maintaining the kitchen's clean and uncluttered look.",,train
00042,train-00000-of-00032.parquet,169,ba2ac02a40b3e918ac3493bc61ec9a36498d0485fd9b1703be4a7cc17c3fc190,0,collection_1,Knoll Bertoia Chair,Furniture,"In a sleek, modern kitchen, the Knoll Bertoia Chair is thoughtfully placed next to a minimalist marble island. This overhead perspective shot showcases its wireframe intricacies and black leather pad in sharp focus, under the bright and even artificial lighting commonly found in contemporary homes. The background displays stainless steel appliances and some sparse green plants, which enhance the chair’s aesthetic allure while maintaining the kitchen's clean and uncluttered look.",,train
00043,train-00000-of-00032.parquet,169,ba2ac02a40b3e918ac3493bc61ec9a36498d0485fd9b1703be4a7cc17c3fc190,1,collection_1,Knoll Bertoia Chair,Furniture,"In a professional studio setting, the Knoll Bertoia Chair is presented against a plain white background, allowing its iconic wire design and unique form to take center stage. The lighting is evenly distributed, high-key, eliminating shadows and emphasizing the chair’s clean lines and elegant curves. Photographed from a three-quarter view angle, the image thoroughly captures the chair's distinctive grid-like framework and cushioned seat pad, showcasing its signature balance of form and function. This precise and uncluttered presentation is ideal for product catalogues, emphasizing the chair's timeless modernist design.",,train
00044,train-00000-of-00032.parquet,191,35fafec0a9af13f6d1a018619e31ece85257ff7607e84fc771d335bad87ac01c,0,collection_1,Captain's Bed,Furniture,"In a cozy, sunlit bedroom with large bay windows, a Captain's Bed takes center stage. The photo is captured from a side profile angle, showcasing the intricate woodwork and built-in storage drawers beneath the mattress. Sunlight streams in from the right, casting soft shadows that highlight the bed's polished finish. Outside the window, vibrant green garden foliage peeks into view, adding a touch of nature to the serene atmosphere.",,train
00045,train-00000-of-00032.parquet,191,35fafec0a9af13f6d1a018619e31ece85257ff7607e84fc771d335bad87ac01c,1,collection_1,Captain's Bed,Furniture,"Nestled in an inviting coastal cottage, the Captain's Bed is photographed at eye level from the foot of the bed. Afternoon light from a nearby window spills across the room, illuminating the bed's nautical-themed bedding and accent pillows. The backdrop features weathered wood walls that complement the bed's rustic charm. A gentle sea breeze causing the curtains to sway adds to the tranquil seaside ambiance.",,train
00046,train-00000-of-00032.parquet,201,f48379d24e68bbb8cb84fab0a97f876da0dd628eb48dc186b7391cea3b353a61,0,collection_1,Bunk Bed,Furniture,"The bunk bed is inside a cozy, rustic cabin nestled in the woods. The photo is taken from a side profile angle, showing the full length of the bed. It's late afternoon, and soft natural light filters through the large window on the left, casting gentle shadows on the wooden floor. In the background, you can see a stone fireplace with a few logs stacked beside it. A warm woolen blanket is draped over the top bunk, and a pair of hiking boots is casually placed at the foot of the ladder.",,train
00047,train-00000-of-00032.parquet,201,f48379d24e68bbb8cb84fab0a97f876da0dd628eb48dc186b7391cea3b353a61,1,collection_1,Bunk Bed,Furniture,"The bunk bed is placed in a vibrant children's room in a suburban home. Shot from a slight overhead perspective, the photo captures the lively colors of the bed's frame and the cheerful bedspreads. The lighting is bright and artificial, coming from a ceiling fixture, making the room appear inviting even though it's nighttime. Toy cars and books are scattered around a plush carpet in the background, and a colorful mural depicting an outer space theme can be seen on the wall behind the bed.",,train
00048,train-00000-of-00032.parquet,224,bc7cd2a3913a46a34440ba9fbad851146d6879090455cb24058b596b47e1c0af,0,collection_1,Wardrobe,Furniture,"The wardrobe stands elegantly in a vintage bedroom setting. The photo is taken from a slightly low angle, giving prominence to its intricately carved wooden doors. It's late afternoon, and soft golden sunlight filters through a nearby lace-curtained window, casting delicate shadows on the surface of the wardrobe. In the background, an antique bed with a floral bedspread and an ornate floor lamp enhance the room's old-world charm. A light breeze makes the curtains softly billow, complementing the calm and nostalgic atmosphere.",,train
00049,train-00000-of-00032.parquet,224,bc7cd2a3913a46a34440ba9fbad851146d6879090455cb24058b596b47e1c0af,1,collection_1,Wardrobe,Furniture,"In a professional studio setting, the wardrobe is photographed against a plain white background. The lighting is even and high-key, ensuring no shadows detract from the details. This classic front view showcases the wardrobe's craftsmanship, with an emphasis on the finely grained wood, elegant handles, and seamless finish. The photo accentuates its dimensions and highlights the functionality of multiple compartments and drawers, making it ideal for a product catalog.",,train
00050,train-00000-of-00032.parquet,230,f6276e645984033309fa39fd3c10492da5eebe19898b81e3bc77091221f2a166,0,collection_1,Wardrobe,Furniture,"On a chilly autumn day, the wardrobe is set on a studio-designed balcony, captured from a frontal perspective. The lighting is predominantly natural, with a hint of the golden hour creating a warm fuzz. Through the glass doors behind, the expansive city skyline is visible, partly obscured by the soft focus of the lens. The wardrobe's rustic finish contrasts with the modern cityscape, suggesting an artistic blend of style and setting. The crisp air is apparent, hinting at the approaching dusk and the scent of wood and paint mingles in the scene.",,train
00051,train-00000-of-00032.parquet,230,f6276e645984033309fa39fd3c10492da5eebe19898b81e3bc77091221f2a166,1,collection_1,Wardrobe,Furniture,"In a professional studio setting, the wardrobe is photographed against a plain white background. The lighting is even and high-key, ensuring no shadows detract from the details. This classic front view showcases the wardrobe's craftsmanship, with an emphasis on the finely grained wood, elegant handles, and seamless finish. The photo accentuates its dimensions and highlights the functionality of multiple compartments and drawers, making it ideal for a product catalog.",,train
00052,train-00000-of-00032.parquet,261,f4e9ceaa1359b7307038c6a9a54f049e4d6174c58bbc6a717287e10e2337c789,0,collection_1,Sideboard,Furniture,"The sideboard is nestled in a cozy living room with a large bay window that lets in the gentle, golden glow of the late afternoon sun. The photo is taken from a slightly elevated front angle, capturing the rich wood grain and the intricate carvings on its doors. In the background, the window frames a view of a lush garden, casting soft shadows on the wall, while a fluffy cat naps on a nearby armchair, adding to the scene's warmth.",,train
